creation_date,id,link_id,mobile_browser_cookie_id,mobile_click_date,os,ip,,identity_id
2015-02-19T22:47:32.734Z,9.7089E+16,8.41141E+16,9.7089E+16,"""2015-02-19T22:47:32.745Z""",iOS,70.208.141.170,,9.7089E+16
2015-02-19T22:41:23.380Z,9.70875E+16,8.41141E+16,9.70875E+16,"""2015-02-19T22:41:28.584Z""",iOS,73.182.212.45,,9.70875E+16
2015-02-19T22:35:36.963Z,9.7086E+16,8.41141E+16,9.7086E+16,"""2015-02-19T22:35:36.970Z""",iOS,70.192.203.8,,9.7086E+16
2015-02-19T22:24:52.152Z,9.70833E+16,8.41141E+16,9.70833E+16,"""2015-02-19T22:24:52.173Z""",iOS,98.231.153.171,,9.70833E+16
2015-02-19T22:24:06.387Z,9.70831E+16,8.41141E+16,9.70831E+16,"""2015-02-19T22:24:06.393Z""",iOS,69.143.218.110,,9.70831E+16
2015-02-19T22:23:00.872Z,9.70828E+16,8.41143E+16,9.70828E+16,"""2015-02-19T22:23:00.890Z""",iOS,108.220.92.231,,9.70828E+16
2015-02-19T22:14:51.146Z,9.70808E+16,8.41141E+16,9.70808E+16,"""2015-02-19T22:14:51.154Z""",iOS,69.143.127.201,,9.70808E+16
2015-02-19T22:11:43.898Z,9.708E+16,8.41141E+16,9.708E+16,"""2015-02-19T22:11:43.905Z""",iOS,72.83.242.51,,9.708E+16
2015-02-19T21:57:30.910Z,9.70764E+16,8.41141E+16,9.70764E+16,"""2015-02-19T21:57:30.916Z""",iOS,156.40.252.1,,9.70764E+16
2015-02-19T21:34:30.036Z,9.70706E+16,8.41141E+16,9.70706E+16,"""2015-02-19T21:34:30.047Z""",iOS,50.164.49.237,,9.70706E+16
2015-02-19T21:23:13.624Z,9.70678E+16,8.41141E+16,9.70678E+16,"""2015-02-19T21:23:13.633Z""",iOS,66.87.80.208,,9.70678E+16
2015-02-19T20:59:10.124Z,9.70617E+16,8.41141E+16,9.70617E+16,"""2015-02-19T20:59:10.132Z""",iOS,71.62.174.79,,9.70617E+16
2015-02-19T20:39:43.509Z,9.70569E+16,8.41143E+16,9.70569E+16,"""2015-02-19T20:39:43.516Z""",iOS,173.71.199.42,,9.70569E+16
2015-02-19T20:30:56.682Z,9.70546E+16,8.41143E+16,9.70546E+16,"""2015-02-19T20:30:56.696Z""",iOS,69.243.97.143,,9.70546E+16
2015-02-19T20:29:22.534Z,9.70542E+16,8.41143E+16,9.70542E+16,"""2015-02-19T20:29:22.544Z""",iOS,173.66.133.187,,9.70542E+16
2015-02-19T20:20:54.961Z,9.70521E+16,8.41143E+16,9.70521E+16,"""2015-02-19T20:20:54.968Z""",iOS,128.172.35.11,,9.70521E+16
2015-02-19T20:20:13.552Z,9.70519E+16,8.41143E+16,9.70519E+16,"""2015-02-19T20:20:13.558Z""",iOS,208.54.90.222,,9.70519E+16
2015-02-19T20:20:02.120Z,9.70519E+16,8.41143E+16,9.70519E+16,"""2015-02-19T20:20:02.140Z""",iOS,173.79.104.87,,9.70519E+16
2015-02-19T20:19:17.073Z,9.70517E+16,8.41143E+16,9.70517E+16,"""2015-02-19T20:19:17.082Z""",iOS,67.174.76.126,,9.70517E+16
2015-02-19T20:18:45.191Z,9.70516E+16,8.41143E+16,9.70516E+16,"""2015-02-19T20:18:45.199Z""",iOS,73.39.43.187,,9.70516E+16
2015-02-19T20:17:12.452Z,9.70512E+16,8.41143E+16,9.70512E+16,"""2015-02-19T20:17:12.461Z""",iOS,97.80.242.76,,9.70512E+16
2015-02-19T20:15:34.212Z,9.70508E+16,8.41143E+16,9.70508E+16,"""2015-02-19T20:15:34.218Z""",iOS,73.40.27.139,,9.70508E+16
2015-02-19T20:15:24.416Z,9.70507E+16,8.41143E+16,9.70507E+16,"""2015-02-19T20:15:24.426Z""",iOS,108.31.180.134,,9.70507E+16
2015-02-19T20:11:36.393Z,9.70498E+16,8.41143E+16,9.70498E+16,"""2015-02-19T20:11:36.405Z""",iOS,70.208.152.152,,9.70498E+16
2015-02-19T20:11:21.862Z,9.70497E+16,8.65069E+16,9.70497E+16,"""2015-02-19T20:11:21.869Z""",iOS,76.125.249.142,,9.70497E+16
2015-02-19T19:56:58.990Z,9.70461E+16,8.41143E+16,9.70461E+16,"""2015-02-19T19:56:58.998Z""",iOS,69.250.147.223,,9.70461E+16
2015-02-19T19:34:14.210Z,9.70404E+16,8.41143E+16,9.70404E+16,"""2015-02-19T19:34:14.223Z""",iOS,68.197.23.137,,9.70404E+16
2015-02-19T19:33:10.742Z,9.70401E+16,8.41143E+16,9.70401E+16,"""2015-02-19T19:33:10.752Z""",iOS,72.71.149.235,,9.70401E+16
2015-02-19T19:30:05.017Z,9.70393E+16,8.41141E+16,9.70393E+16,"""2015-02-19T19:30:05.026Z""",iOS,70.192.216.54,,9.70393E+16
2015-02-19T19:04:08.948Z,9.70328E+16,8.41143E+16,9.70328E+16,"""2015-02-19T19:04:08.955Z""",iOS,70.208.163.44,,9.70328E+16
2015-02-19T19:02:13.576Z,9.70323E+16,8.41143E+16,9.70323E+16,"""2015-02-19T19:02:13.586Z""",iOS,204.62.51.155,,9.70323E+16
2015-02-19T18:54:46.505Z,9.70304E+16,8.41141E+16,9.70304E+16,"""2015-02-19T18:54:46.517Z""",iOS,70.208.131.140,,9.70304E+16
2015-02-19T18:29:51.055Z,9.70242E+16,8.41141E+16,9.70242E+16,"""2015-02-19T18:29:51.063Z""",iOS,69.249.125.96,,9.70242E+16
2015-02-19T18:21:55.868Z,9.70222E+16,8.41143E+16,9.70222E+16,"""2015-02-19T18:21:55.882Z""",iOS,89.211.58.142,,9.70222E+16
2015-02-19T18:17:25.891Z,9.7021E+16,8.41141E+16,9.7021E+16,"""2015-02-19T18:17:25.900Z""",iOS,71.241.239.243,,9.7021E+16
2015-02-19T18:04:52.660Z,9.70179E+16,8.41143E+16,9.70179E+16,"""2015-02-19T18:04:52.675Z""",iOS,136.167.243.203,,9.70179E+16
2015-02-19T17:58:57.040Z,9.70164E+16,8.41143E+16,9.70164E+16,"""2015-02-19T17:58:57.051Z""",iOS,70.192.206.39,,9.70164E+16
2015-02-19T17:40:01.812Z,9.70116E+16,8.41141E+16,9.70116E+16,"""2015-02-19T17:40:01.825Z""",iOS,70.208.145.138,,9.70116E+16
2015-02-19T17:08:16.247Z,9.70036E+16,8.41143E+16,9.70036E+16,"""2015-02-19T17:08:16.255Z""",iOS,74.214.45.93,,9.70036E+16
2015-02-19T16:36:40.524Z,9.69957E+16,8.41143E+16,9.69957E+16,"""2015-02-19T16:36:40.533Z""",iOS,68.10.75.165,,9.69957E+16
2015-02-19T16:34:34.785Z,9.69952E+16,8.41143E+16,9.69952E+16,"""2015-02-19T16:34:34.796Z""",iOS,166.171.57.248,,9.69952E+16
2015-02-19T14:53:20.256Z,9.69697E+16,8.41141E+16,9.69697E+16,"""2015-02-19T14:53:20.266Z""",iOS,184.153.24.117,,9.69697E+16
2015-02-19T14:47:00.198Z,9.69681E+16,8.41143E+16,9.69681E+16,"""2015-02-19T14:47:00.210Z""",iOS,70.208.140.128,,9.69681E+16
2015-02-19T14:44:09.438Z,9.69674E+16,8.41143E+16,9.69674E+16,"""2015-02-19T14:44:09.448Z""",iOS,97.65.242.177,,9.69674E+16
2015-02-19T14:00:00.479Z,9.69563E+16,8.41143E+16,9.69563E+16,"""2015-02-19T14:00:00.486Z""",iOS,166.170.33.150,,9.69563E+16
2015-02-19T12:22:02.556Z,9.69316E+16,8.41143E+16,9.69316E+16,"""2015-02-19T12:22:02.565Z""",iOS,173.69.160.74,,9.69316E+16
2015-02-19T10:33:23.624Z,9.69043E+16,8.41141E+16,9.69043E+16,"""2015-02-19T10:33:23.629Z""",iOS,208.54.35.142,,9.69043E+16
2015-02-19T09:59:42.753Z,9.68958E+16,8.41143E+16,9.68958E+16,"""2015-02-19T09:59:42.760Z""",iOS,97.125.213.214,,9.68958E+16
2015-02-19T07:09:41.665Z,9.6853E+16,8.41141E+16,9.6853E+16,"""2015-02-19T07:09:41.675Z""",iOS,108.28.26.241,,9.6853E+16
2015-02-19T05:32:10.488Z,9.68285E+16,7.44336E+16,9.68285E+16,"""2015-02-19T05:32:10.495Z""",iOS,76.21.8.170,,9.68285E+16
2015-02-19T05:28:32.773Z,9.68275E+16,8.41141E+16,9.68275E+16,"""2015-02-19T05:28:32.780Z""",iOS,173.73.110.132,,9.68275E+16
2015-02-19T05:26:58.725Z,9.68272E+16,8.41141E+16,9.68272E+16,"""2015-02-19T05:27:25.726Z""",iOS,71.163.178.119,,9.68272E+16
2015-02-19T04:40:23.874Z,9.68154E+16,8.41141E+16,9.68154E+16,"""2015-02-19T04:40:23.882Z""",iOS,108.18.157.138,,9.68154E+16
2015-02-19T04:11:09.895Z,9.68081E+16,8.41141E+16,9.68081E+16,"""2015-02-19T04:11:09.906Z""",iOS,74.96.242.23,,9.68081E+16
2015-02-19T03:59:39.916Z,9.68052E+16,8.41141E+16,9.68052E+16,"""2015-02-19T03:59:39.928Z""",iOS,73.201.192.9,,9.68052E+16
2015-02-19T03:52:28.471Z,9.68034E+16,8.41141E+16,9.68034E+16,"""2015-02-19T03:52:28.480Z""",iOS,108.18.227.235,,9.68034E+16
2015-02-19T03:48:57.366Z,9.68025E+16,8.41141E+16,9.68025E+16,"""2015-02-19T03:49:33.278Z""",iOS,98.67.171.237,,9.68025E+16
2015-02-19T03:32:12.794Z,9.67983E+16,8.41141E+16,9.5203E+16,"""2015-02-19T03:32:12.810Z""",iOS,98.169.239.122,,9.67983E+16
2015-02-19T03:28:40.574Z,9.67974E+16,8.65069E+16,9.67974E+16,"""2015-02-19T03:28:40.581Z""",iOS,108.51.159.160,,9.67974E+16
2015-02-19T03:24:23.427Z,9.67963E+16,8.41141E+16,9.67963E+16,"""2015-02-19T03:24:23.437Z""",iOS,108.15.126.243,,9.67963E+16
2015-02-19T02:58:53.161Z,9.67899E+16,8.41141E+16,9.67899E+16,"""2015-02-19T02:58:53.170Z""",iOS,108.18.50.247,,9.67899E+16
2015-02-19T02:43:49.433Z,9.67861E+16,8.41141E+16,9.67861E+16,"""2015-02-19T02:43:49.445Z""",iOS,69.138.5.84,,9.67861E+16
